product_id,product_ean,Categorie_L1,Categorie_L2,Categorie_L3,name,price,discount_price,seller
1098551433063,1098551433063,Electronics & Appliances,Batteries & Power,Power Adaptors & Sockets,"STARGOLD Multiple cord Extension Set Overload Protector Electric Charging Lead 3 Way Ac Output with 1 USB and 1 USB-C Port Anti-Fire 750⁰C, 13A 5M Long Power Cable Heavy Duty Charging Station- White",150,60,STARGOLD INTERNATIONAL
1845469,8714574661551,Electronics & Appliances,Cameras & Camcorders,Digital Cameras,Canon EOS 250D SLR Camera With EF-S 18-55mm And EF 75-300mm Lens Black,3531,3531,Jacky's Electronics LLC
6970357853922,6970357853922,Electronics & Appliances,Cameras & Camcorders,Action & Instant Cameras,Insta360 X3 360 Degree Action Camera,1699,1699,Boat t Deals
6970885350177,6970885350177,Electronics & Appliances,Cameras & Camcorders,Cameras Accessories,"Wanbo Portable Projector T6 MAX 1080P, 5G Wifi, 4k Portable Home Theater Video, Mini Projector, Perfect for Indoor Movie at Home, Office Presentation,&hellip;",1525,1089,Ample Online Store
1234054071065,1234054071065,Electronics & Appliances,Cameras & Camcorders,Tripods,Coopic S06 2.8X3.2m Photo Video Studio Background Stands Adjustable Photography Video Muslin Backdrop Support System Stands Set With Case,209.99,209.99,DMK
1234574071018,1234574071018,Electronics & Appliances,Cameras & Camcorders,"Cameras Lenses, Filters & Flashes",Coopic Jdd E27 220-240V 150W Studio Photography Flash Bulb Modeling LED Strobe Lamp,26.99,26.99,DMK
791592387562,791592387562,Electronics & Appliances,Cameras & Camcorders,Camcorders,Xiaomi-Mi MJSXJ02HL Home Security Camera Standard Version 1080P IP65 Waterproof IP Camera Night Vision,299,153.85,MEGA STORE
757530483277,757530483277,Electronics & Appliances,Cameras & Camcorders,Carry Cases & Bags,COOPIC BL-26 BLACK Messenger CANVAS DSLR Camera Bag Urban Life Shoulder Case for Nikon Sony Canon Olympus Pentex Interchangeable Mirrorless Micro 4/3 Full Frame Lens Digital SLR,59.99,55,DMK
947273702009,947273702009,Electronics & Appliances,Home Phones,Cordless Phones,Grandstream Dp720 Dect Cordless Voip Telephone,350,249.8,TechTree
1946703,8887549691935,Electronics & Appliances,Home Phones,Corded Phones,Panasonic KX-TG6712UE1 DECT Cordless Phone,399,255.69,QUIRKY STORE
6941565969002,6941565969002,Electronics & Appliances,Gadgets,Drones,DJI Mini 4 Pro Fly More Combo Plus,4999,4599,AL ARRAF
761342113659,761342113659,Electronics & Appliances,Gadgets,Binoculars,Telescope Camera Lens For Mobile Phones With Stand,77,77,Akzun Trading
1308709,885370750041,Electronics & Appliances,Digital Cards,Microsoft Office Digital,Microsoft Office 365 Personal Single User,299,299,Carrefour
653341917416,653341917416,Electronics & Appliances,Digital Cards,Kaspersky,Kaspersky Anti-Virus 2020 - 2 Device,99.9,99.9,IT Splendid
8901736014311,8901736014311,Electronics & Appliances,Digital Cards,Netflix,Epic Movie [DVD] [2007],59,59,Dubai Store UAE
